0,All State Construction 1 LLC,(803) 359-2364,"Lexington, SC 29073",none,General ContractorsPainting ContractorsHome Repair & Maintenance,none,none
1,Swat Lock,(803) 359-3356,"Lexington, SC 29072",220 Jakes Landing Rd Lot 20,"General ContractorsDoors, Frames, & AccessoriesHome Repair & Maintenance",none,none
2,S & T Grading & Excavating Inc.,(803) 755-2718,"Lexington, SC 29073",309 Landfill Ln,General ContractorsDemolition ContractorsExcavation Contractors,none,none
3,Concrete Unlimited,(803) 755-1419,"Lexington, SC 29073",223 Falcon Dr,General ContractorsConcrete Equipment & SuppliesFoundation Contractors,none,none
4,North American Dismantling & Demolition,(888) 639-1652,none,none,General ContractorsGrading ContractorsBuilding Contractors,none,none
5,Comfort Zone Foam Insulation LLC,(803) 948-9784,"Chapin, SC 29036",1611 Amicks Ferry Rd,General ContractorsDrywall ContractorsAir Quality-Indoor,none,none
6,Thomas Oswald General Carpentry & Builders LLC,(803) 600-9172,"Winnsboro, SC 29180",176 Rion Rd,General ContractorsHome Repair & MaintenanceCabinets,(5),none
7,Palmer Construction Company Inc,(803) 364-2125,none,none,General ContractorsHome Repair & MaintenanceBuilding Contractors,none,none
8,Lucas Carol O Construction,(803) 796-7096,"West Columbia, SC 29169",1330 D Ave,General ContractorsHome Repair & MaintenanceBuilding Contractors,none,none
9,Homeowners Services,(803) 771-6408,none,none,General ContractorsHome ImprovementsBuilding Contractors,none,none
10,Mooring Home Builders LLC,(803) 348-6314,"Columbia, SC 29205",308 Edisto Ave,General ContractorsAltering & Remodeling ContractorsHome Repair & Maintenance,(1),none
11,All  Star Concrete Construction,(803) 807-2425,"Ridgeway, SC 29130",110 Canty Cir,General ContractorsBuilding ContractorsConcrete Equipment & Supplies,none,none
12,Dewey's Service,(803) 776-1617,"Columbia, SC 29209",101 Leventis Dr,General ContractorsAluminumBrass,none,none
13,Rabon Frank Jr Construction Co,(803) 438-1075,"Lugoff, SC 29078",250 Kinard Rd,General ContractorsBuilding ContractorsConstruction & Building Equipment,none,none
14,Air Compressor Sales,(864) 296-8885,none,none,General ContractorsConstruction & Building EquipmentBuilding Contractors,none,none
15,French Brothers Landscape Inc,(803) 470-0597,"Chapin, SC 29177",none,"General ContractorsLandscape ContractorsSprinklers-Garden & Lawn, Installation & Service",none,none
16,Able James And Sons Asphalt Service,(803) 712-4374,"Ridgeway, SC 29130",none,General ContractorsExcavation ContractorsBuilding Contractors,none,none
17,Paint  Co Professional Painters,(844) 267-0815,none,none,General ContractorsCabinet MakersHome Repair & Maintenance,none,none
18,Duraclean Disaster Clean-Up & Restoration,(803) 732-2000,"Irmo, SC 29063",1779 Dutch Fork Rd,General ContractorsDuct CleaningCleaning Contractors,(2),none
19,Huggins Paving & Seal Coating,(803) 445-0664,"Gaston, SC 29053",358 Pound Rd,General ContractorsDriveway ContractorsParking Stations & Garages-Construction,(1),BBB Rating: A+
20,Builders Hardware of South Carolina,(803) 699-2662,"West Columbia, SC 29169",836 Sox St.,General ContractorsBuilding ContractorsHardware Stores,none,none
21,Burriss Building Systems Inc,(803) 781-3010,"Irmo, SC 29063",1011 Kinley Rd,General ContractorsBuilding ContractorsMetal Buildings,none,none
22,Affordable Housing Of West Columbia,(803) 791-1944,"West Columbia, SC 29169",1917 Augusta Rd,General ContractorsFinancial ServicesMobile Home Rental & Leasing,none,none
23,ABC Seal Coating & Striping,(803) 999-2959,"Gaston, SC 29053",360 Pound Rd,"General ContractorsSealers Asphalt, Concrete, Etc.Masonry Contractors",none,none
24,Smith G H Construction Co,(803) 781-5460,"Columbia, SC 29212",430 Shuler Ct,General ContractorsBuilding ContractorsHome Builders,none,none
25,Trapp Electric Co,(803) 786-5072,"Columbia, SC 29203",5421 Knightner St,General ContractorsElectriciansBuilding Contractors,none,none
26,Willingham Landscape & Asphalt,(803) 575-1261,"Jenkinsville, SC 29065",10399 State Highway 215 S,General ContractorsPatio BuildersFoundation Contractors,none,none
27,Hollis Plumbing Co Inc,(803) 754-6239,"Blythewood, SC 29016",11113 Wilson Blvd,General ContractorsBuilding ContractorsPlumbers,none,none
28,Boots on Enterprise,(803) 212-2582,"Ridgeway, SC 29130",12628 State Highway 34 E,General ContractorsConcrete ContractorsPest Control Services,none,none
29,Sailors Asphalt Paving Co,(803) 816-0179,none,none,General ContractorsDriveway ContractorsMasonry Contractors,none,none
30,North American Dismantling & Demolition,none,none,none,General ContractorsEnvironmental & Ecological ConsultantsGrading Contractors,none,none
31,Comfort Zone Foam Insulation LLC,none,none,none,General ContractorsInsulation ContractorsBuilding Contractors,none,none
32,Thomas Oswald General Carpentry & Builders LLC,none,none,none,General ContractorsCarpentersCabinet MakersHome BuildersBuilding Contractors,(5),none
33,Palmer Construction Company Inc,none,none,none,General ContractorsHome ImprovementsHome Repair & Maintenance,none,none
34,Ken Lyons Construction,none,none,none,General ContractorsBuilding Contractors,none,none
35,Laboratory Design & Equipment Inc,(888) 358-2511,none,none,General ContractorsClean Room FacilitiesSchools,none,none
36,Columbia Wholesale,(803) 779-0740,"West Columbia, SC 29172",1801 Dixiana Rd,General ContractorsStone NaturalRoofing Equipment & Supplies,none,none
37,Starnes Well Drilling & Septic Tank Service,(803) 564-5432,"Salley, SC 29137",7502 Wagener Rd,General ContractorsSewer ContractorsBuilding Contractors,none,none
38,Toiletpartitions.com,(844) 532-6121,none,none,"General ContractorsPartitionsBathroom Fixtures, Cabinets & Accessories",none,none
39,Quality Woodtruss,(803) 276-1112,"Newberry, SC 29108",7843 Sc Highway 395,General ContractorsBuilding ContractorsRoof & Floor Structures,none,none
